0,START,minigame_0&isKioskConnected_0,12364.11
2,PROB_START,probNum_1&correctPos_0.9999999,12369.72
4,ATTEMPT_START,,12369.72
5,ATTEMPT_END,skele_72057594037944987&distFromCorrect_3.501738,12396.2
4,ATTEMPT_START,,12396.2
5,ATTEMPT_END,skele_72057594037944987&distFromCorrect_3.501738,12396.4
4,ATTEMPT_START,,12396.4
5,ATTEMPT_END,skele_72057594037944987&distFromCorrect_3.501738,12396.6
4,ATTEMPT_START,,12396.6
5,ATTEMPT_END,skele_72057594037944987&distFromCorrect_3.501738,12397.74
4,ATTEMPT_START,,12397.74
5,ATTEMPT_END,skele_72057594037944987&distFromCorrect_3.501738,12401.57
4,ATTEMPT_START,,12401.57
1,END,score_0,12461.57
